all_requests,delta,compression_time
1024,1,0.0020825862884521484
2048,1,0.0024785995483398438
4096,1,0.002557516098022461
8192,1,0.003287076950073242
16384,1,0.009203672409057617
32768,1,0.0075991153717041016
65536,1,0.01365041732788086
131072,1,0.02504897117614746
1024,2,0.002064228057861328
2048,2,0.0022389888763427734
4096,2,0.002655029296875
8192,2,0.0033235549926757812
16384,2,0.0050008296966552734
32768,2,0.007684230804443359
65536,2,0.013495683670043945
131072,2,0.0251619815826416
1024,3,0.0020227432250976562
2048,3,0.0022268295288085938
4096,3,0.0025870800018310547
8192,3,0.003401041030883789
16384,3,0.004724740982055664
32768,3,0.007631778717041016
65536,3,0.01343989372253418
131072,3,0.02486729621887207
1024,4,0.002068758010864258
2048,4,0.0022842884063720703
4096,4,0.002613544464111328
8192,4,0.0031147003173828125
16384,4,0.00899958610534668
32768,4,0.007669210433959961
65536,4,0.013222694396972656
131072,4,0.02635812759399414
1024,5,0.0018854141235351562
2048,5,0.002053499221801758
4096,5,0.002672910690307617
8192,5,0.003362417221069336
16384,5,0.004834651947021484
32768,5,0.007556915283203125
65536,5,0.013257026672363281
131072,5,0.02468085289001465
