solver_status:4
Assignment solution for R[0]:
request_id,strategy,time_slot,emission,error
0,0,0,100,6
1,0,0,100,6
2,0,0,100,6
3,0,0,100,6
4,0,0,100,6
5,0,0,100,6
6,0,0,100,6
7,0,0,100,6
8,0,0,100,6
9,0,0,100,6
10,0,0,100,6
11,0,0,100,6
12,0,0,100,6
13,0,0,100,6
14,0,0,100,6
15,0,0,100,6
16,0,0,100,6
17,0,0,100,6
18,1,2,800,3
19,0,2,80,6
20,1,2,800,3
21,1,2,800,3
22,0,2,80,6
23,0,2,80,6
24,0,2,80,6
25,0,2,80,6
26,0,2,80,6
27,0,2,80,6
28,1,2,800,3
29,1,2,800,3
30,1,2,800,3
31,1,2,800,3
32,1,2,800,3
33,0,2,80,6
34,1,2,800,3
35,0,2,80,6
36,1,2,800,3
37,1,2,800,3
38,0,2,80,6
39,1,2,800,3
40,1,2,800,3
41,1,2,800,3
42,1,2,800,3
43,1,2,800,3
44,0,2,80,6
45,0,2,80,6
46,1,2,800,3
47,0,0,100,6
48,0,0,100,6
49,0,0,100,6
Statistics:
R[0] max_weighted_error_threshold: 250
objective_value:43682520.0
all_emissions:16660
slot_emissions:[2100, 0, 14560, 0, 0]
all_errors:249
slot_errors:[126, 0, 123, 0, 0]
conflicts:0,branches:5333,wall_time:0.024636776000000003
solve_time:0.0246

