all_requests,computing_time,solver_status,solve_time,objective_value,all_emissions,slot_emissions,all_errors,slot_errors,iteration
1024,0.43454599380493164,4,0.0088,426300.0,20300,[20300],249,[249],1
1024,0.4058105945587158,4,0.0089,426300.0,20300,[20300],249,[249],2
1024,0.4016897678375244,4,0.0089,426300.0,20300,[20300],249,[249],3
1024,0.4374229907989502,4,0.0088,426300.0,20300,[20300],249,[249],4
1024,0.44227123260498047,4,0.0089,426300.0,20300,[20300],249,[249],5
1024,0.39762330055236816,4,0.0088,426300.0,20300,[20300],249,[249],6
1024,0.39991092681884766,4,0.0094,426300.0,20300,[20300],249,[249],7
1024,0.4160280227661133,4,0.0088,426300.0,20300,[20300],249,[249],8
1024,0.43597960472106934,4,0.0089,426300.0,20300,[20300],249,[249],9
1024,0.4390120506286621,4,0.0088,426300.0,20300,[20300],249,[249],10
2048,0.43911051750183105,4,0.0088,832300.0,20300,[20300],249,[249],1
2048,0.437427282333374,4,0.0088,832300.0,20300,[20300],249,[249],2
2048,0.44238781929016113,4,0.0088,832300.0,20300,[20300],249,[249],3
2048,0.4380805492401123,4,0.0088,832300.0,20300,[20300],249,[249],4
2048,0.43805551528930664,4,0.0089,832300.0,20300,[20300],249,[249],5
2048,0.4331166744232178,4,0.0089,832300.0,20300,[20300],249,[249],6
2048,0.4401388168334961,4,0.0088,832300.0,20300,[20300],249,[249],7
2048,0.41386985778808594,4,0.0088,832300.0,20300,[20300],249,[249],8
2048,0.4384162425994873,4,0.0089,832300.0,20300,[20300],249,[249],9
2048,0.43814897537231445,4,0.0088,832300.0,20300,[20300],249,[249],10
4096,0.44144701957702637,4,0.0089,1664600.0,20300,[20300],249,[249],1
4096,0.44102931022644043,4,0.0089,1664600.0,20300,[20300],249,[249],2
4096,0.43677258491516113,4,0.0089,1664600.0,20300,[20300],249,[249],3
4096,0.44350361824035645,4,0.0088,1664600.0,20300,[20300],249,[249],4
4096,0.4397761821746826,4,0.0089,1664600.0,20300,[20300],249,[249],5
4096,0.42727041244506836,4,0.0088,1664600.0,20300,[20300],249,[249],6
4096,0.4527115821838379,4,0.0089,1664600.0,20300,[20300],249,[249],7
4096,0.4502904415130615,4,0.0088,1664600.0,20300,[20300],249,[249],8
